temperature,date,mois,wind_dire,wind_speed,id
22,"2018-03-24 14:00:00",28,从西南偏西方向吹来的风,8,399
19,"2018-03-24 11:00:00",41,从西南偏西方向吹来的风,4,400
14,"2018-03-24 02:00:00",68,从西南方吹来的风,4,401
12,"2018-03-24 08:00:00",72,从西南偏南方向吹来的风,2,402
14,"2018-03-24 05:00:00",61,从西南偏西方向吹来的风,6,403
17,"2018-03-23 20:00:00",48,从西南方吹来的风,5,404
15,"2018-03-23 23:00:00",65,从西南方吹来的风,4,405
20,"2018-03-23 17:00:00",40,从西南偏西方向吹来的风,7,406
17,"2018-03-23 11:00:00",62,从南方吹来的风,2,407
22,"2018-03-23 14:00:00",31,从西南偏南方向吹来的风,5,408
12,"2018-03-23 08:00:00",89,从西方吹来的风,1,409
14,"2018-03-23 02:00:00",80,从东南偏南方向吹来的风,3,410
18,"2018-03-22 20:00:00",43,从南方吹来的风,2,411
11,"2018-03-23 05:00:00",91,从东南偏南方向吹来的风,1,412
15,"2018-03-22 23:00:00",68,从东南偏南方向吹来的风,4,413
19,"2018-03-22 14:00:00",46,从东南偏南方向吹来的风,3,414
